"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"77041","Boissy-aux-Cailles",9,45,2,69,0,1,22,36,0,20,1,242,33,209,3,1,205
"77042","Boissy-le-Châtel",75,353,16,326,5,10,365,664,8,158,13,2521,487,2034,38,3,1993
"77043","Boitron",4,31,1,38,0,0,35,77,2,6,3,249,45,204,5,2,197
"77044","Bombon",38,110,8,88,0,4,116,135,4,36,6,666,95,571,20,6,545
"77045","Bougligny",21,62,5,70,3,3,64,137,3,34,8,537,120,417,2,5,410
"77046","Boulancourt",10,53,1,53,1,2,26,63,3,12,1,289,61,228,3,0,225
"77047","Bouleurs",41,172,6,148,2,4,145,269,6,59,8,1111,234,877,8,9,860
"77048","Bourron-Marlotte",80,468,12,538,2,8,228,292,5,71,20,2114,366,1748,22,2,1724
"77049","Boutigny",28,134,7,188,1,8,74,133,0,28,5,725,109,616,9,1,606
"77050","Bransles",14,44,2,64,2,1,63,88,2,21,5,372,57,315,4,5,306
"77051","Bray-sur-Seine",32,193,8,178,4,9,187,367,6,64,14,1548,455,1093,25,6,1062
"77053","Brie-Comte-Robert",484,1863,99,1353,9,47,1472,1886,44,669,52,10580,2426,8154,138,38,7978
"77055","Brou-sur-Chantereine",138,403,34,216,5,17,557,466,11,132,20,2792,722,2070,42,29,1999
"77052","Bréau",18,27,4,32,1,2,61,47,0,17,3,280,56,224,9,3,212
"77056","Burcy",3,12,0,17,1,2,21,32,0,5,0,116,23,93,0,0,93
"77057","Bussières",8,50,4,40,0,2,32,73,2,8,1,294,66,228,6,2,220
"77058","Bussy-Saint-Georges",682,4097,133,2739,16,66,2154,1363,29,458,78,14781,2746,12035,174,46,11815
"77059","Bussy-Saint-Martin",27,134,4,131,2,7,59,82,0,13,3,567,91,476,13,1,462
"77060","Buthiers",27,90,3,112,4,7,69,118,4,19,8,555,80,475,12,2,461
"77061","Cannes-Ecluse",63,238,13,213,4,12,243,400,12,80,15,1652,329,1323,20,10,1293
"77062","Carnetin",26,49,5,68,0,2,53,35,1,10,2,303,48,255,3,1,251
"77066","Cerneux",10,36,2,37,0,2,22,51,2,11,3,220,43,177,1,0,176
"77067","Cesson",434,1655,54,946,9,46,1239,965,27,456,56,7245,1229,6016,107,22,5887
"77068","Cessoy-en-Montois",9,15,0,46,0,2,24,40,0,10,2,176,21,155,6,1,148
"77069","Chailly-en-Bière",57,281,11,324,7,11,160,264,8,84,9,1530,287,1243,21,6,1216
"77070","Chailly-en-Brie",47,122,6,141,0,14,111,261,5,59,0,955,165,790,15,9,766
"77071","Chaintreaux",17,95,6,86,1,6,91,185,2,55,5,712,146,566,17,0,549
"77072","Chalautre-la-Grande",11,65,3,57,0,6,62,115,4,22,2,468,114,354,4,3,347
"77073","Chalautre-la-Petite",14,81,2,89,1,1,43,125,1,22,5,441,46,395,7,4,384
"77075","Chalifert",45,164,7,149,1,3,168,151,4,34,10,954,201,753,10,7,736
"77076","Chalmaison",20,88,3,58,1,7,100,124,9,27,4,553,106,447,6,0,441
