"","link","name","nb_jlm2012","tx_jlm2012","abstention","exprimés"
"1","075/075056AR01.html","Paris 1er arrondissement",660,7.91,2068,8339
"2","075/075056AR02.html","Paris 2eme arrondissement",993,10.23,2551,9703
"3","075/075056AR03.html","Paris 3eme arrondissement",1710,10.16,4084,16825
"4","075/075056AR04.html","Paris 4eme arrondissement",1350,9.73,3347,13879
"5","075/075056AR05.html","Paris 5eme arrondissement",3001,10.26,6493,29237
"6","075/075056AR06.html","Paris 6eme arrondissement",1249,5.96,4718,20955
"7","075/075056AR07.html","Paris 7eme arrondissement",875,3.48,5680,25170
"8","075/075056AR08.html","Paris 8eme arrondissement",772,4.1,4596,18830
"9","075/075056AR09.html","Paris 9eme arrondissement",2667,9.33,6903,28583
"10","075/075056AR10.html","Paris 10eme arrondissement",5901,14.89,9744,39632
"11","075/075056AR11.html","Paris 11eme arrondissement",9703,14.1,15769,68819
"12","075/075056AR12.html","Paris 12eme arrondissement",8166,11.65,16790,70113
"13","075/075056AR13.html","Paris 13eme arrondissement",11383,13.56,21555,83965
"14","075/075056AR14.html","Paris 14eme arrondissement",7433,11.46,15748,64848
"15","075/075056AR15.html","Paris 15eme arrondissement",8002,7.35,26281,108937
"16","075/075056AR16.html","Paris 16eme arrondissement",2324,3.19,18285,72839
"17","075/075056AR17.html","Paris 17eme arrondissement",5353,7.25,18146,73861
"18","075/075056AR18.html","Paris 18eme arrondissement",12019,15.34,21687,78332
"19","075/075056AR19.html","Paris 19eme arrondissement",11690,15.74,21620,74270
"20","075/075056AR20.html","Paris 20eme arrondissement",14850,17.4,22690,85337
"21","077/077001.html","Achères-la-Forêt",62,8.34,148,743
"22","077/077002.html","Amillis",35,7.76,94,451
"23","077/077003.html","Amponville",16,6.67,36,240
"24","077/077004.html","Andrezel",18,8.22,44,219
"25","077/077005.html","Annet-sur-Marne",153,9.33,395,1640
"26","077/077006.html","Arbonne-la-Forêt",43,8.05,123,534
"27","077/077007.html","Argentières",18,7.44,30,242
"28","077/077008.html","Armentières-en-Brie",47,8.5,207,553
"29","077/077009.html","Arville",5,5.49,24,91
"30","077/077010.html","Aubepierre-Ozouer-le-Repos",57,10.88,101,524
"31","077/077011.html","Aufferville",37,12.46,60,297
"32","077/077012.html","Augers-en-Brie",9,4.05,48,222
"33","077/077013.html","Aulnoy",20,8.06,61,248
"34","077/077014.html","Avon",715,10.49,1932,6817
"35","077/077015.html","Baby",4,7.27,11,55
"36","077/077016.html","Bagneaux-sur-Loing",115,13.43,172,856
"37","077/077018.html","Bailly-Romainvilliers",245,8.98,705,2729
"38","077/077019.html","Balloy",17,8.42,42,202
"39","077/077020.html","Bannost-Villegagnon",28,7.82,77,358
"40","077/077021.html","Barbey",13,11.21,15,116
"41","077/077022.html","Barbizon",56,5.87,242,954
"42","077/077023.html","Barcy",13,8.84,32,147
"43","077/077024.html","Bassevelle",17,8.46,46,201
"44","077/077025.html","Bazoches-lès-Bray",37,7.34,117,504
"45","077/077026.html","Beauchery-Saint-Martin",17,8.1,40,210
"46","077/077027.html","Beaumont-du-Gâtinais",74,13.29,126,557
"47","077/077028.html","Beautheil",37,9.46,91,391
"48","077/077029.html","Beauvoir",18,13.14,22,137
"49","077/077030.html","Bellot",40,9.24,96,433
"50","077/077031.html","Bernay-Vilbert",55,10.62,100,518
"51","077/077032.html","Beton-Bazoches",30,7.67,127,391
"52","077/077033.html","Bezalles",14,11.48,21,122
"53","077/077034.html","Blandy",59,12.32,66,479
"54","077/077035.html","Blennes",37,10.48,78,353
"55","077/077037.html","Bois-le-Roi",337,9.18,937,3673
"56","077/077036.html","Boisdon",6,7.79,16,77
"57","077/077038.html","Boissettes",11,3.83,56,287
"58","077/077039.html","Boissise-la-Bertrand",53,9.27,147,572
"59","077/077040.html","Boissise-le-Roi",151,6.7,471,2254
"60","077/077041.html","Boissy-aux-Cailles",21,9.5,35,221
"61","077/077042.html","Boissy-le-Châtel",178,9.52,423,1870
"62","077/077043.html","Boitron",18,8.82,49,204
"63","077/077044.html","Bombon",72,13.21,104,545
"64","077/077045.html","Bougligny",44,10.14,112,434
"65","077/077046.html","Boulancourt",18,7.5,58,240
"66","077/077047.html","Bouleurs",64,8.12,209,788
"67","077/077048.html","Bourron-Marlotte",115,6.94,385,1658
"68","077/077049.html","Boutigny",35,6.11,100,573
"69","077/077050.html","Bransles",12,3.91,56,307
"70","077/077051.html","Bray-sur-Seine",108,9.73,447,1110
"71","077/077052.html","Bréau",27,12.11,44,223
"72","077/077053.html","Brie-Comte-Robert",741,10.02,2445,7397
"73","077/077055.html","Brou-sur-Chantereine",295,14.1,732,2092
"74","077/077056.html","Burcy",8,9.3,29,86
"75","077/077057.html","Bussières",16,6.96,55,230
"76","077/077058.html","Bussy-Saint-Georges",843,8.66,3154,9736
"77","077/077059.html","Bussy-Saint-Martin",40,8.77,104,456
"78","077/077060.html","Buthiers",38,8.39,93,453
"79","077/077061.html","Cannes-Ecluse",121,9.73,310,1244
"80","077/077062.html","Carnetin",23,9.66,46,238
"81","077/077065.html","Cély",47,6.43,154,731
"82","077/077066.html","Cerneux",13,6.5,42,200
"83","077/077067.html","Cesson",577,10.92,1102,5282
"84","077/077068.html","Cessoy-en-Montois",0,0,25,150
"85","077/077069.html","Chailly-en-Bière",112,9.44,287,1187
"86","077/077070.html","Chailly-en-Brie",55,7.71,200,713
"87","077/077071.html","Chaintreaux",83,14.51,119,572
"88","077/077072.html","Chalautre-la-Grande",34,9.26,84,367
"89","077/077073.html","Chalautre-la-Petite",37,10.95,72,338
"90","077/077075.html","Chalifert",89,13.15,192,677
"91","077/077076.html","Chalmaison",66,15.21,106,434
"92","077/077077.html","Chambry",46,8.42,136,546
"93","077/077078.html","Chamigny",65,9.49,168,685
"94","077/077079.html","Champagne-sur-Seine",363,12.5,778,2903
"95","077/077080.html","Champcenest",4,3.92,12,102
"96","077/077081.html","Champdeuil",36,10.75,73,335
"97","077/077082.html","Champeaux",45,9.38,79,480
"98","077/077083.html","Champs-sur-Marne",1564,14.58,3402,10724
"99","077/077084.html","Changis-sur-Marne",51,7.86,180,649
"100","077/077085.html","Chanteloup-en-Brie",122,10.2,344,1196
"101","077/077094.html","Charmentray",14,8.59,19,163
"102","077/077095.html","Charny",68,10.32,137,659
"103","077/077096.html","Chartrettes",146,9.13,302,1600
"104","077/077097.html","Chartronges",10,5.85,34,171
