"id","name","nb_jlm2017","tx_jlm2017","abstention","exprimés"
"95313","L'Isle-Adam",923,13.79,1110,6694
"95139","La Chapelle-en-Vexin",34,17.17,33,198
"95257","La Frette-sur-Seine",496,18.33,448,2706
"95523","La Roche-Guyon",56,22.76,47,246
"95328","Labbeville",41,11.75,51,349
"95331","Lassy",15,15.31,20,98
"95054","Le Bellay-en-Vexin",22,16.06,17,137
"95303","Le Heaulme",13,10.16,24,128
"95395","Le Mesnil-Aubry",97,17.67,123,549
"95483","Le Perchay",57,17.33,57,329
"95491","Le Plessis-Bouchard",725,15.86,1011,4572
"95492","Le Plessis-Gassot",3,8.11,4,37
"95493","Le Plessis-Luzarches",15,16.85,21,89
"95612","Le Thillay",387,21.21,522,1825
"95341","Livilliers",20,8.7,44,230
"95348","Longuesse",68,18.99,58,358
"95351","Louvres",1151,25.49,1876,4516
"95352","Luzarches",489,18.76,635,2606
"95353","Maffliers",207,20.7,173,1000
"95355","Magny-en-Vexin",557,18.43,709,3022
"95365","Mareil-en-France",50,13.37,86,374
"95369","Margency",233,13.05,268,1786
"95370","Marines",324,17.31,386,1872
"95371","Marly-la-Ville",755,23.37,917,3230
"95379","Maudétour-en-Vexin",18,12.16,15,148
"95387","Menouville",6,15.38,10,39
"95388","Menucourt",792,25.12,772,3153
"95409","Moisselles",112,15.69,124,714
"95422","Montgeroult",62,22.55,39,275
"95424","Montigny-lès-Cormeilles",2471,30.36,2943,8138
"95426","Montlignon",269,15.17,317,1773
"95427","Montmagny",1668,30.3,2072,5505
"95428","Montmorency",1946,17.95,2464,10840
"95429","Montreuil-sur-Epte",55,18.09,45,304
"95430","Montsoult",425,20.33,465,2091
"95436","Mours",161,18.3,173,880
"95438","Moussy",11,17.74,15,62
"95392","Mériel",517,18.54,679,2789
"95394","Méry-sur-Oise",1039,20.79,1189,4997
"95445","Nerville-la-Forêt",62,16.27,64,381
"95446","Nesles-la-Vallée",180,14.42,274,1248
"95447","Neuilly-en-Vexin",16,13.45,18,119
"95450","Neuville-sur-Oise",164,15.23,173,1077
"95452","Nointel",108,21.43,90,504
"95456","Noisy-sur-Oise",58,14.87,76,390
"95459","Nucourt",68,14.38,64,473
"95462","Omerville",30,13.64,25,220
"95476","Osny",1690,20.68,2281,8173
"95480","Parmain",600,17.99,918,3336
"95487","Persan",1362,32.09,1253,4244
"95488","Pierrelaye",1004,27.19,1187,3693
"95489","Piscop",57,13.83,79,412
"95500","Pontoise",3178,25.28,4152,12571
"95504","Presles",466,19.71,411,2364
"95510","Puiseux-Pontoise",39,12.34,41,316
"95509","Puiseux-en-France",396,21.48,575,1844
"95527","Roissy-en-France",281,21.7,406,1295
"95529","Ronquerolles",80,15.47,95,517
"95535","Sagy",125,16.78,164,745
"95539","Saint-Brice-sous-Forêt",1345,19.93,1947,6748
"95541","Saint-Clair-sur-Epte",99,20.75,122,477
"95543","Saint-Cyr-en-Arthies",26,17.93,25,145
"95554","Saint-Gervais",93,14.33,95,649
"95555","Saint-Gratien",2202,22.2,3253,9917
"95563","Saint-Leu-la-Forêt",1680,18.94,1954,8869
"95566","Saint-Martin-du-Tertre",298,22.34,407,1334
"95572","Saint-Ouen-l'Aumône",2559,27.31,2997,9370
"95574","Saint-Prix",676,15.06,1203,4488
"95580","Saint-Witz",161,10.01,283,1608
"95582","Sannois",2902,23.27,3677,12472
"95584","Santeuil",65,15.63,52,416
"95585","Sarcelles",5635,29.92,8777,18833
"95592","Seraincourt",126,16.03,168,786
"95594","Seugy",113,17.38,119,650
"95598","Soisy-sous-Montmorency",1728,19.14,2832,9030
"95604","Survilliers",418,21.3,499,1962
"95607","Taverny",3110,22.7,3651,13700
"95611","Theuville",3,17.65,7,17
"95610","Théméricourt",33,16.67,35,198
"95625","Us",125,15.06,117,830
"95627","Vallangoujard",42,10.5,69,400
"95628","Valmondois",156,18.96,141,823
"95633","Vaudherland",5,10.64,13,47
"95637","Vauréal",2273,26.54,2960,8563
"95652","Viarmes",504,16.41,760,3072
"95656","Vienne-en-Arthies",44,14.92,27,295
"95658","Vigny",116,14.74,122,787
"95660","Villaines-sous-Bois",58,12.53,56,463
"95675","Villeron",77,16.67,80,462
"95676","Villers-en-Arthies",64,19.16,43,334
"95678","Villiers-Adam",85,15.89,48,535
"95680","Villiers-le-Bel",2932,34.26,4392,8558
"95682","Villiers-le-Sec",21,19.81,10,106
"95641","Vémars",256,20.29,510,1262
"95651","Vétheuil",105,20.31,76,517
"95690","Wy-dit-Joli-Village",45,17.24,46,261
