"","link","name","nb_jlm2017","tx_jlm2017","abstention","exprimés"
"1087","094/094059.html","Le Plessis-Trévise",1776,19.15,2232,9274
"1088","094/094044.html","Limeil-Brévannes",2638,26.86,2583,9820
"1089","094/094046.html","Maisons-Alfort",5706,19.69,6544,28977
"1090","094/094047.html","Mandres-les-Roses",395,15.55,531,2541
"1091","094/094048.html","Marolles-en-Brie",399,13.01,663,3067
"1092","094/094052.html","Nogent-sur-Marne",2368,13.43,4590,17637
"1093","094/094053.html","Noiseau",440,15.97,584,2756
"1094","094/094054.html","Orly",2975,35.98,2702,8269
"1095","094/094055.html","Ormesson-sur-Marne",715,13.3,1215,5374
"1096","094/094056.html","Périgny-sur-Yerres",233,16,262,1456
"1097","094/094065.html","Rungis",603,17.55,514,3436
"1098","094/094067.html","Saint-Mandé",1573,12.53,2809,12557
"1099","094/094068.html","Saint-Maur-des-Fossés",5648,13.34,8299,42346
"1100","094/094069.html","Saint-Maurice",1159,17.24,1452,6721
"1101","094/094070.html","Santeny",248,11.48,396,2160
"1102","094/094071.html","Sucy-en-Brie",2475,17.71,2669,13972
"1103","094/094073.html","Thiais",2778,21.9,3557,12683
"1104","094/094074.html","Valenton",1844,42,1711,4390
"1105","094/094075.html","Villecresnes",863,15.7,1044,5498
"1106","094/094076.html","Villejuif",7076,33.7,7793,20994
"1107","094/094078.html","Villeneuve-Saint-Georges",2977,32.56,3497,9142
"1108","094/094077.html","Villeneuve-le-Roi",2142,27.11,2733,7901
"1109","094/094079.html","Villiers-sur-Marne",3205,25.56,3410,12540
"1110","094/094080.html","Vincennes",4297,15.46,4688,27793
"1111","094/094081.html","Vitry-sur-Seine",11425,35.24,12294,32424
"1112","095/095002.html","Ableiges",101,16.29,105,620
"1113","095/095008.html","Aincourt",83,17.89,94,464
"1114","095/095011.html","Ambleville",36,15.52,44,232
"1115","095/095012.html","Amenucourt",26,20.47,30,127
"1116","095/095014.html","Andilly",149,11.52,210,1293
"1117","095/095018.html","Argenteuil",13038,33.89,14285,38474
"1118","095/095019.html","Arnouville",1296,22.54,1857,5749
"1119","095/095023.html","Arronville",55,13.13,70,419
